City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
139,Bilma,NE,18.6853,12.9164,83.44,49,100,12.5,overcast clouds,2021-07-23 02:45:01
140,Matagami,CA,49.7502,-77.6328,53.71,94,1,0.0,clear sky,2021-07-23 02:45:01
141,Butaritari,KI,3.0707,172.7902,83.01,77,93,14.94,light rain,2021-07-23 02:45:01
142,Fortuna,US,40.5982,-124.1573,61.93,73,1,1.99,clear sky,2021-07-23 02:45:01
143,Bambous Virieux,MU,-20.3428,57.7575,70.05,78,20,11.5,few clouds,2021-07-23 02:42:11
144,Georgetown,MY,5.4112,100.3354,85.98,71,20,1.01,few clouds,2021-07-23 02:45:02
145,Yulara,AU,-25.2406,130.9889,62.44,36,3,5.75,clear sky,2021-07-23 02:44:41
146,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,83,19,5.23,few clouds,2021-07-23 02:45:11
147,Clyde River,CA,70.4692,-68.5914,35.83,100,90,8.05,mist,2021-07-23 02:45:11
148,Necochea,AR,-38.5473,-58.7368,54.03,76,100,10.33,overcast clouds,2021-07-23 02:45:11
149,Mumford,GH,5.2618,-0.759,75.4,87,100,8.63,overcast clouds,2021-07-23 02:45:12
150,Lidkoping,SE,58.5052,13.1577,60.82,95,87,2.35,overcast clouds,2021-07-23 02:45:12
151,Ganzhou,CN,28.8184,115.4327,88.54,62,5,11.72,clear sky,2021-07-23 02:45:13
152,Middelburg,ZA,-25.7751,29.4648,28.29,56,0,7.11,clear sky,2021-07-23 02:45:14
153,Svencionys,LT,55.15,26.1667,53.29,97,5,6.2,clear sky,2021-07-23 02:45:14
154,Midyat,TR,37.4247,41.3393,84.43,40,0,7.09,clear sky,2021-07-23 02:45:14
155,Bowen,AU,-20.0167,148.2333,79.02,61,58,10.85,broken clouds,2021-07-23 02:45:14
156,Ancud,CL,-41.8697,-73.8203,46.22,82,100,7.02,overcast clouds,2021-07-23 02:45:15
157,Wajid,SO,3.8093,43.2471,69.39,81,30,18.95,scattered clouds,2021-07-23 02:45:15
158,Longyearbyen,SJ,78.2186,15.6401,44.44,81,75,18.41,broken clouds,2021-07-23 02:40:55
