City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
255,Topolobampo,MX,25.6,-109.05,88.11,74,53,4.25,broken clouds
256,Shimoda,JP,34.6667,138.95,86.36,71,2,8.88,clear sky
257,Sao Filipe,CV,14.8961,-24.4956,75.81,87,35,6.51,scattered clouds
258,Cayenne,GF,4.9333,-52.3333,82.09,83,0,1.99,clear sky
259,Ciudad Bolivar,VE,8.1222,-63.5497,75.47,93,100,7.43,overcast clouds
260,Bullhead City,US,35.1478,-114.5683,95.61,41,1,8.05,clear sky
261,Akdepe,TM,42.0551,59.3788,89.69,20,0,9.01,clear sky
262,Kieta,PG,-6.2167,155.6333,80.58,85,89,4.56,moderate rain
263,Jinchang,CN,38.4953,102.1739,92.66,23,16,16.67,few clouds
264,Coihaique,CL,-45.5752,-72.0662,48.15,76,0,4.61,clear sky
265,Aklavik,CA,68.2191,-135.0107,81.32,46,76,15.84,broken clouds
266,Ossora,RU,59.2353,163.0719,63.66,67,100,5.19,overcast clouds
267,Vila Velha,BR,-20.3297,-40.2925,62.55,100,75,2.3,broken clouds
268,Areka,ET,7.0667,37.7,61.23,89,89,1.34,overcast clouds
269,Novikovo,RU,51.1537,37.8879,65.46,70,60,12.35,broken clouds
270,Faanui,PF,-16.4833,-151.75,78.94,77,14,16.42,few clouds
271,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,74.19,82,19,11.21,few clouds
272,Gainesville,US,29.6516,-82.3248,77.76,90,1,0.0,clear sky
273,Ancud,CL,-41.8697,-73.8203,49.53,89,100,11.5,light rain
274,Paka,MY,4.6374,103.4368,85.98,74,20,3.44,few clouds
275,Sinnamary,GF,5.3833,-52.95,78.57,85,12,7.58,few clouds
276,Flin Flon,CA,54.7682,-101.865,67.62,84,10,6.69,clear sky
277,Banjar,ID,-8.19,114.9675,84.06,54,17,3.42,few clouds
278,Pevek,RU,69.7008,170.3133,44.13,66,8,7.9,clear sky
279,Arman,RU,59.7,150.1667,53.33,96,100,6.82,light rain
280,Porto Novo,BJ,6.4965,2.6036,76.82,76,77,9.66,broken clouds
281,Bengkulu,ID,-3.8004,102.2655,84.15,63,61,5.64,broken clouds
282,Magadan,RU,59.5667,150.8,54.03,95,99,3.18,light rain
283,Leningradskiy,RU,69.3833,178.4167,39.51,74,100,4.9,overcast clouds
284,Natitingou,BJ,10.3042,1.3796,71.35,82,92,3.71,overcast clouds
285,Muli,MV,2.9167,73.5667,82.33,76,100,13.85,overcast clouds
286,Iguape,BR,-24.7081,-47.5553,54.46,92,2,3.31,clear sky
287,Belyy Yar,RU,53.6039,91.3903,75.09,57,0,4.47,clear sky
288,Robat Karim,IR,35.4846,51.0829,93.06,12,20,6.91,few clouds
289,Sangar,RU,63.9242,127.4739,77.11,42,70,9.37,broken clouds
290,Myitkyina,MM,25.3833,97.4,78.76,92,100,1.36,overcast clouds
291,Kruisfontein,ZA,-34.0033,24.7314,42.89,79,97,28.34,moderate rain
292,Valga,EE,57.7778,26.0473,53.01,87,16,1.01,few clouds
293,Richmond,US,37.5538,-77.4603,75.15,90,40,3.44,haze
294,Qandala,SO,11.472,49.8728,90.05,47,28,21.54,scattered clouds
295,Rawson,AR,-43.3002,-65.1023,52.34,57,100,10.38,overcast clouds
296,Arlit,NE,18.7369,7.3853,86.97,35,34,9.35,scattered clouds
297,Bilma,NE,18.6853,12.9164,87.49,40,45,9.01,scattered clouds
298,Cap Malheureux,MU,-19.9842,57.6142,73.47,62,81,11.99,light rain
299,North Battleford,CA,52.7834,-108.2847,73.49,68,1,10.36,clear sky
300,Vanimo,PG,-2.6741,141.3028,84.33,71,94,4.81,overcast clouds
301,Pombas,CV,17.1503,-25.0201,74.98,89,77,6.4,broken clouds
302,Epernay,FR,49.05,3.95,58.28,91,0,4.68,clear sky
303,Tabas,IR,33.5959,56.9244,95.34,11,0,5.35,clear sky
304,Aasiaat,GL,68.7098,-52.8699,39.22,91,100,1.16,overcast clouds
305,Zubtsov,RU,56.1753,34.5894,57.43,55,2,9.19,clear sky
306,Omboue,GA,-1.5746,9.2618,72.3,81,91,7.36,overcast clouds
307,Waddan,LY,29.1614,16.139,74.82,61,0,3.85,clear sky
308,Narrabri,AU,-30.3167,149.7833,62.53,31,25,10.36,scattered clouds
309,Margate,GB,51.3813,1.3862,62.96,92,0,6.62,clear sky
310,Marsh Harbour,BS,26.5412,-77.0636,83.23,77,100,10.31,overcast clouds
311,Ambon,ID,-3.6954,128.1814,78.94,89,40,3.44,light rain
312,Mlonggo,ID,-6.5333,110.7,89.49,59,89,5.86,overcast clouds
313,Tuatapere,NZ,-46.1333,167.6833,48.81,74,65,4.38,broken clouds
314,Hay River,CA,60.8156,-115.7999,69.78,64,75,8.05,smoke
315,Mascote,BR,-15.5631,-39.3025,66.49,84,92,2.46,overcast clouds
316,Pasni,PK,25.2631,63.471,85.32,84,2,11.25,clear sky
317,Xiongzhou,CN,25.1167,114.3,94.32,55,76,1.68,broken clouds
318,Basco,PH,20.4487,121.9702,82.49,87,100,30.51,overcast clouds
319,Moche,PE,-8.1711,-79.0092,64.09,88,30,6.78,scattered clouds
320,Muisne,EC,0.6,-80.0333,75.96,84,63,9.73,broken clouds
321,General Roca,AR,-39.0333,-67.5833,37.8,40,100,3.74,overcast clouds
