City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
340,Kapoeta,SS,76.77,broken clouds,4.7717,33.5903,Eastgate Hotel
342,Umuahia,NG,72.34,overcast clouds,5.5263,7.4896,Hotel Macbek Limited
343,Vung Tau,VN,86.5,overcast clouds,10.345999999999998,107.0843,Green hotel
344,Port Hedland,AU,87.85,clear sky,-20.3167,118.5667,The Esplanade Hotel
345,Playas,EC,70.95,broken clouds,-2.6333,-80.3833,Hostal Promenade
346,Tubmanburg,LR,73.31,light rain,6.8708,-10.8172,LITTLE WAY GUEST HOUSE
347,Araceli,PH,85.1,overcast clouds,10.5529,119.9913,JBryan Traveler's Inn
353,Sibu,MY,86.31,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
355,Santa Rosa,PH,81.91,heavy intensity rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
357,Pemangkat,ID,88.0,overcast clouds,1.1667,108.9667,Ramah Kost KITA
360,Shymkent,KZ,84.79,clear sky,42.3,69.6,Orbita Boutique Hotel
362,Chara,RU,76.28,overcast clouds,56.9064,118.2631,
363,Nabire,ID,76.57,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
364,Nioro,GM,78.4,overcast clouds,13.35,-15.75,
365,Abay,KZ,73.78,clear sky,49.6311,72.8539,Guest House on Abaya 144
366,Muleba,TZ,71.87,clear sky,-1.8397,31.6544,DIGNITY GUEST (RUGAIMUKAMU)
367,Puerto Ayora,EC,71.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
368,Bubaque,GW,80.47,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
370,Aquiraz,BR,79.18,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
371,Aguada De Pasajeros,CU,73.54,few clouds,22.385,-80.8508,Soles de Marti
372,Jacksonville,US,79.02,mist,30.3322,-81.6556,Hyatt Regency Jacksonville Riverfront
373,Carupano,VE,76.68,overcast clouds,10.6678,-63.2585,Hotel La dorada
374,Kamaishi,JP,85.15,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
375,Guymon,US,73.4,clear sky,36.6828,-101.4816,Super 8 Guymon
377,Silifke,TR,84.0,clear sky,36.3778,33.9344,Ayatekla Hotel
380,Mayumba,GA,70.0,broken clouds,-3.432,10.6554,LIKWALE LODGE
381,Fenoarivo Atsinanana,MG,70.18,broken clouds,-17.3667,49.4167,L'Oasis Lodge
383,Erenhot,CN,87.67,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
388,Dicabisagan,PH,85.78,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
390,Yicheng,CN,87.46,broken clouds,31.3705,119.8703,GreenTree Alliance Wuxi Yixing Jinyizhong Road Chengbei RT-Market Hotel
392,Tukrah,LY,79.72,broken clouds,32.5341,20.5791,Lokta restaurant
397,Altay,CN,89.55,overcast clouds,47.8667,88.1167,Jinqiao Hotel
398,Matamoros,MX,74.1,clear sky,25.5333,-103.25,Quinta Belem
399,Najran,SA,75.85,few clouds,17.4924,44.1277,محمد هادي ال فطيح
401,Verkhnevilyuysk,RU,80.19,broken clouds,63.4453,120.3167,Gostinitsa Mila
402,Brigantine,US,72.01,clear sky,39.4101,-74.3646,Legacy Vacation Resorts Brigantine Beach
404,Shenjiamen,CN,81.79,scattered clouds,29.9576,122.29799999999999,Jinjiang Inn Zhoushan Putuo Shenjiamen
408,Borogontsy,RU,78.37,broken clouds,62.6683,131.1683,
409,Bozhou,CN,82.31,overcast clouds,33.8772,115.7703,Haitian Hotel
